ParticleType,Energy
pi-,509.461
pi-,509.461
2pi-,504.443
2pi-,504.443
pi+,341.475
pi+,341.475
2pi+,340.415
2pi+,340.415
pi+,253.644
pi+,253.644
pi+,253.644
2pi+,252.667
2pi+,252.667
2pi+,252.667
pi+,998.528
pi+,998.528
2pi+,997.576
2pi+,997.576
pi-,927.616
pi-,927.616
2pi-,926.584
2pi-,926.584
pi+,301.842
pi+,301.842
2pi+,300.657
2pi+,300.657
pi+,184.891
pi+,184.891
pi+,184.891
2pi+,183.603
2pi+,183.603
2pi+,183.603
pi+,180.278
pi+,180.278
pi+,180.278
2pi+,178.577
2pi+,178.577
2pi+,178.577
pi+,643.786
pi+,643.786
2pi+,642.706
2pi+,642.706
pi-,493.401
pi-,493.401
2pi-,491.982
2pi-,491.982
pi+,225.054
pi+,225.054
2mu+,145.398
2mu+,145.398
2mu+,145.398
pi-,424.868
pi-,424.868
2mu-,385.512
2mu-,385.512
pi+,420.885
pi+,420.885
2pi+,419.725
2pi+,419.725
pi+,49.7665
pi+,49.7665
pi+,49.7665
2pi+,47.5072
2pi+,47.5072
2pi+,47.5072
pi-,578.408
pi-,578.408
2pi-,577.21
2pi-,577.21
pi-,636.242
pi-,636.242
2pi-,635.308
2pi-,635.308
pi-,383.509
pi-,383.509
2pi-,381.081
2pi-,381.081
pi+,237.376
pi+,237.376
2mu+,120.078
2mu+,120.078
2mu+,120.078
pi-,152.524
pi-,152.524
pi-,152.524
2pi-,151.025
2pi-,151.025
2pi-,151.025
pi+,378.637
pi+,378.637
2pi+,377.237
2pi+,377.237
pi+,354.504
pi+,354.504
2pi+,349.702
2pi+,349.702
mu-,214.642
mu-,214.642
mu-,214.642
2mu-,213.495
2mu-,213.495
2mu-,213.495
pi-,300.624
pi-,300.624
2pi-,298.936
2pi-,298.936
pi+,205.336
pi+,205.336
pi+,205.336
2pi+,204.399
2pi+,204.399
2pi+,204.399
pi-,1789.13
pi-,1789.13
2pi-,1788.15
2pi-,1788.15
pi-,260.363
pi-,260.363
pi-,260.363
2pi-,259.16
2pi-,259.16
2pi-,259.16
pi+,659.624
pi+,659.624
2pi+,658.721
2pi+,658.721
pi-,335.627
pi-,335.627
2pi-,333.791
2pi-,333.791
mu-,202.07
mu-,202.07
2mu-,199.25
2mu-,199.25
pi+,273.994
pi+,273.994
2pi+,272.921
2pi+,272.921
pi+,1155.14
pi+,1155.14
2pi+,1154.21
2pi+,1154.21
pi-,249.507
pi-,249.507
2pi-,245.219
2pi-,245.219
pi-,520.584
pi-,520.584
2mu-,458.672
2mu-,458.672
pi+,476.719
pi+,476.719
2mu+,462.419
2mu+,462.419
pi-,396.145
pi-,396.145
2pi-,394.821
2pi-,394.821
pi-,74.5987
pi-,74.5987
pi-,74.5987
2mu-,40.4581
2mu-,40.4581
2mu-,40.4581
pi+,278.46
pi+,278.46
2pi+,276.945
2pi+,276.945
pi-,138.301
pi-,138.301
pi-,138.301
2pi-,137.144
2pi-,137.144
2pi-,137.144
pi-,1153.68
pi-,1153.68
2pi-,1152.44
2pi-,1152.44
pi-,342.84
