ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi0	6.85342e-05	-4.12407e-07	53.6631	
pi0	3.64298e-05	-3.95342e-05	53.6628	
pi-	1.37408	-0.7479	72.8912	
pi0	1.37411	-0.747845	72.8912	
pi-	1.29527	-0.915049	73.6233	
pi-	0.630962	-2.20505	80.0274	
pi-	-0.954462	1.08642	80.2157	
pi-	-2.09263	3.81687	80.4158	
pi-	-3.32256	5.84015	80.8165	
pi-	-4.14355	7.53562	81.3542	
pi-	-4.62407	8.86172	82.0724	
pi-	-5.29592	9.69164	82.7662	
pi-	-5.69989	10.5337	83.233	
pi-	-6.14112	11.1696	83.5744	
pi-	-6.53975	11.5813	83.9071	
pi-	-6.54139	11.5843	83.9088	
pi-	-6.74413	11.7156	84.3779	
pi-	-6.83699	11.8576	84.7629	
pi-	-6.8514	11.9618	85.0879	
pi-	-6.93057	11.9916	85.3363	
pi-	-7.02017	12.0004	85.5096	
pi-	-7.09551	12.0098	85.5692	
pi-	-7.09859	12.0072	85.5712	
pi-	-7.0986	12.0072	85.5712	
pi-	-7.0986	12.0072	85.5712	
pi0	4.73488e-05	-2.87769e-05	53.6628	
pi0	4.76044e-05	-1.68992e-05	53.6628	
pi+	2.33962	2.05998	200.934	
pi+	5.31168	3.91409	205.73	
pi+	6.60781	4.19172	207.859	
pi+	8.77816	5.52197	211.476	
pi+	10.7099	6.64454	214.276	
pi+	12.6831	7.46007	216.243	
pi+	14.0386	8.22785	218.083	
pi+	14.994	8.31493	219.758	
pi+	15.4722	8.0684	221.234	
pi+	15.9472	7.79088	222.387	
pi+	16.3271	7.69344	223.33	
pi+	16.508	7.54789	224.103	
pi+	16.5818	7.42179	224.73	
pi+	16.6028	7.35368	225.226	
pi+	16.5838	7.23495	225.611	
pi+	16.6166	7.20361	225.903	
pi+	16.7086	6.98752	225.998	
pi+	16.7445	6.80519	225.997	
pi+	16.7878	6.74266	225.98	
pi+	16.7884	6.74198	225.98	
pi+	16.7884	6.74199	225.98	
pi+	16.7884	6.74199	225.98	
mu+	16.8721	6.72931	226.067	
mu+	16.8813	6.73139	226.075	
mu+	16.8817	6.73164	226.075	
mu+	16.8817	6.73164	226.075	
pi+	14.7168	-10.7788	240.928	
pi+	20.9772	-16.1358	262.39	
pi-	20.0625	-16.7635	262.219	
pi-	19.3304	-17.2047	261.93	
pi-	18.6437	-17.4424	261.883	
pi-	18.0925	-17.6179	261.868	
pi-	17.6545	-17.7752	261.909	
pi-	17.3218	-17.9365	261.917	
pi-	17.18	-17.9756	261.89	
pi0	2.72601	-1.65916	204.964	
pi-	-1.80227	4.78319	109.351	
pi-	-4.32305	5.746	118.135	
pi-	-10.9806	1.24038	123.524	
pi-	-16.1398	-1.5884	128.832	
pi-	-20.334	-4.83289	132.473	
pi-	-22.3781	-6.5274	134.481	
pi-	-25	-8.87157	135.415	
pi-	25	12.2407	236.334	
pi-	21.3362	11.9984	237.206	
pi-	18.5453	11.6966	238.203	
pi-	16.4146	11.4828	239.368	
pi-	14.8388	11.1645	240.449	
pi-	13.5067	10.875	241.161	
pi-	12.443	10.5394	241.708	
pi-	12.0356	10.3755	241.971	
pi-	11.9313	10.1339	242.817	
pi-	11.7919	9.89055	243.463	
pi-	11.8594	9.74695	243.993	
pi-	12.0212	9.7202	244.411	
pi-	12.143	9.73878	244.724	
pi-	12.1718	9.79652	244.993	
pi-	12.1054	9.84701	245.188	
pi-	12.0557	9.86977	245.318	
pi-	12.0617	9.86499	245.335	
pi-	12.0617	9.86492	245.335	
pi-	12.0617	9.86492	245.335	
pi-	2.69259	-2.15379	91.9061	
pi-	3.47919	-2.72465	92.1389	
pi-	2.52826	-3.8327	90.1387	
pi-	2.14069	-5.05492	88.6216	
pi-	1.5669	-5.99363	87.457	
pi-	1.25847	-6.77189	86.4473	
pi-	1.10171	-7.17838	85.4917	
pi-	1.12603	-7.34615	84.6831	
pi-	1.17011	-7.43659	84.0207	
pi-	1.09627	-7.42582	83.4923	
pi-	1.02299	-7.35735	83.0905	
pi-	0.898781	-7.24151	82.7943	
pi-	0.808644	-7.2066	82.5439	
pi-	0.760983	-7.21041	82.3413	
pi-	0.682065	-7.19763	82.2337	
pi-	0.667739	-7.20032	82.2244	
pi-	0.667673	-7.2004	82.2243	
pi-	0.667673	-7.2004	82.2243	
pi+	-1.34691	-0.787121	110.58	
pi+	-5.51171	-3.79594	154.004	
pi+	-7.11918	-5.34945	199.928	
pi+	-11.2182	-8.97125	225.696	
pi+	-19.3844	-8.68594	245.96	
pi+	-20.6243	-8.66026	248.715	
pi-	-20.3834	-6.54462	249.522	
pi-	-19.9251	-4.84266	250.066	
pi-	-19.5602	-3.41295	250.113	
pi-	-19.5528	-3.3053	250.119	
pi-	-19.9262	-3.20985	248.993	
pi-	-20.3884	-3.13467	248.171	
pi-	-20.7213	-3.09195	247.544	
pi-	-21.0444	-3.04682	247.076	
pi-	-21.222	-2.94624	246.688	
pi-	-21.3462	-2.93462	246.366	
pi-	-21.4412	-2.95933	246.112	
pi-	-21.5661	-2.99633	245.967	
pi-	-21.657	-2.98226	245.911	
pi-	-21.6619	-2.98101	245.907	
pi-	-21.6619	-2.98101	245.907	
pi+	-16.5442	-8.05859	243.24	
pi+	-13.2639	-8.03632	239.072	
pi+	-10.9761	-8.02406	235.464	
pi+	-9.07418	-7.89402	232.651	
pi+	-7.68283	-7.97285	230.249	
pi+	-6.5835	-8.0907	228.346	
pi+	-5.54833	-8.46269	226.943	
pi+	-4.74677	-8.809	225.829	
pi+	-4.03778	-8.96113	224.934	
pi+	-3.42469	-8.95172	224.266	
pi+	-2.81337	-8.91545	223.861	
pi+	-2.32097	-8.85747	223.562	
pi+	-1.95814	-8.72274	223.346	
pi+	-1.6912	-8.59947	223.161	
pi+	-1.52229	-8.49892	222.967	
pi+	-1.5795	-8.42152	222.777	
pi+	-1.59758	-8.39931	222.636	
pi+	-1.60271	-8.38966	222.628	
pi+	-1.6027	-8.38963	222.628	
pi+	-1.6027	-8.38963	222.628	
mu+	-1.53731	-8.47224	222.564	
mu+	-1.54138	-8.48344	222.56	
mu+	-1.54146	-8.48408	222.559	
mu+	-1.54146	-8.48408	222.559	
pi+	-3.5766	15.2668	159.669	
pi+	-5.45747	25	199.294	
pi+	-4.88552	123.641	573	
pi+	-4.40377	126.25	583	
pi+	-4.40377	126.25	583	
pi+	1544.03	456.939	6868.17	
pi+	6376.51	806.999	25192.2	
pi+	10727.2	1102.59	41714.9	
pi+	14642.1	1378.37	56662	
pi+	38739.6	2960.26	148624	
mu+	39854.1	3038.53	153074	
mu+	40856.6	3115.49	157053	
mu+	41759.1	3181.77	160641	
mu+	42571.1	3244.61	163886	
mu+	43301.6	3304.78	166815	
mu+	43959.3	3356.02	169448	
mu+	44551.3	3401.28	171821	
mu+	45083.9	3444.23	173950	
mu+	45563.2	3483.17	175864	
mu+	45994.6	3518.76	177587	
mu+	46382.8	3550.6	179142	
mu+	46732.3	3578.7	180541	
mu+	47046.8	3603.71	181801	
mu+	47329.9	3625.31	182934	
mu+	47584.8	3644.34	183953	
mu+	47814.1	3662.11	184873	
mu+	48020.6	3678.09	185699	
mu+	48206.3	3692.91	186442	
mu+	48373.4	3706.57	187110	
mu+	48523.8	3719.06	187713	
mu+	48659.2	3730.31	188254	
mu+	48781	3740.49	188742	
mu+	48890.6	3749.61	189180	
mu+	48989.2	3757.61	189574	
mu+	49077.9	3764.9	189931	
mu+	49157.9	3771.44	190252	
mu+	49229.8	3777.32	190541	
mu+	49294.6	3782.5	190801	
mu+	49352.9	3787.1	191035	
mu+	49405.3	3791.25	191246	
mu+	49452.6	3795.05	191435	
mu+	49495.1	3798.55	191606	
mu+	49533.3	3801.79	191759	
mu+	49567.7	3804.74	191897	
mu+	49598.7	3807.38	192021	
mu+	49626.5	3809.76	192133	
mu+	49651.6	3811.89	192234	
mu+	49674.2	3813.81	192324	
mu+	49694.5	3815.54	192406	
mu+	49712.8	3817.09	192479	
mu+	49729.3	3818.49	192545	
mu+	49744.1	3819.75	192604	
mu+	49757.4	3820.88	192658	
mu+	49769.4	3821.89	192706	
mu+	49780.2	3822.8	192749	
mu+	49789.9	3823.62	192788	
mu+	49798.7	3824.36	192823	
mu+	49806.5	3825.02	192855	
mu+	49813.6	3825.62	192883	
mu+	49820	3826.16	192908	
mu+	49825.7	3826.64	192931	
mu+	49830.9	3827.07	192952	
mu+	49835.5	3827.46	192971	
mu+	49839.7	3827.81	192988	
mu+	49843.5	3828.12	193003	
mu+	49846.9	3828.4	193016	
mu+	49849.9	3828.66	193028	
mu+	49852.7	3828.89	193039	
mu+	49853.2	3828.93	193041	
pi0	0.166289	0.213557	91.3415	
pi0	0.413606	-0.450996	198.337	
pi0	0.413657	-0.450987	198.337	
pi0	0.413603	-0.450988	198.337	
pi0	0.413602	-0.450991	198.337	
pi+	12.9386	-12.0151	228.036	
pi+	22.569	-25	252.846	
pi+	15797.8	6546.48	31299.3	
mu+	18751	8013.7	37074.8	
mu+	21401.6	9349.46	42254.6	
mu+	23795.7	10533.6	46865	
mu+	25947.7	11605	51023.8	
mu+	27881.9	12575.1	54739.7	
mu+	29622.7	13448	58096.6	
mu+	31188	14236.4	61135.9	
mu+	32596.1	14947.5	63877.3	
mu+	33845	15589.6	66341.2	
mu+	34978.4	16184.2	68627.8	
mu+	35998.1	16720	70689.9	
mu+	36917.2	17199.2	72537.7	
mu+	37745.5	17628.5	74198.2	
mu+	38490.6	18015.5	75688.7	
mu+	39161.4	18363.3	77036.2	
mu+	39766	18674.5	78250.3	
mu+	40310.6	18953.5	79338.2	
mu+	40800.6	19205.1	80319.3	
mu+	41241.1	19432.5	81198.3	
mu+	41637.7	19636.8	81991.7	
mu+	41994.2	19821.4	82705.2	
mu+	42314.4	19989.2	83347.5	
mu+	42602.4	20140.5	83925.9	
mu+	42861.9	20276.2	84447.5	
mu+	43095.5	20398	84916.5	
mu+	43305.8	20507.5	85339.6	
mu+	43495.1	20606.2	85720.3	
mu+	43665.5	20694.8	86063.4	
mu+	43818.9	20774.7	86370.7	
mu+	43956.9	20846.4	86646.9	
mu+	44081.1	20911.1	86895.8	
mu+	44192.9	20969.3	87119.5	
mu+	44293.4	21021.8	87321	
mu+	44383.9	21069.1	87502.3	
mu+	44465.3	21111.8	87665.5	
mu+	44538.5	21150.2	87812.2	
mu+	44604.4	21184.8	87944.4	
mu+	44663.8	21216	88063.3	
mu+	44717.2	21243.9	88170.3	
mu+	44765.2	21269.1	88266.5	
mu+	44808.4	21291.9	88353.1	
mu+	44847.4	21312.3	88431.1	
mu+	44882.4	21330.6	88501.3	
mu+	44913.9	21347.2	88564.4	
mu+	44942.3	21362.1	88621.3	
mu+	44967.8	21375.5	88672.5	
mu+	44990.8	21387.5	88718.5	
mu+	45011.5	21398.4	88760	
mu+	45030.1	21408.2	88797.3	
mu+	45046.8	21417	88830.9	
mu+	45061.9	21424.9	88861.1	
mu+	45075.5	21432	88888.3	
mu+	45087.7	21438.4	88912.7	
mu+	45098.7	21444.2	88934.7	
mu+	45108.6	21449.4	88954.6	
mu+	45117.5	21454.1	88972.4	
mu+	45125.5	21458.3	88988.5	
mu+	45132.7	21462.1	89002.9	
mu+	45139.2	21465.5	89015.9	
mu+	45145	21468.6	89027.6	
mu+	45150.3	21471.3	89038.1	
mu+	45154.1	21473.3	89045.8	
pi-	5.4992	12.0705	204.216	
pi-	5.53097	14.0048	205.417	
pi-	5.47473	14.1921	205.55	
pi-	3.16204	14.2036	204.348	
pi-	1.95809	14.3185	203.729	
pi-	2.58117	12.1426	205.374	
pi-	2.56028	10.2981	206.542	
pi-	2.46824	9.00041	207.745	
pi-	2.36542	8.00387	208.728	
pi-	2.3101	7.36976	209.692	
pi-	2.33632	6.82594	210.433	
pi-	2.37106	6.32838	211.001	
pi-	2.43498	6.05611	211.544	
pi-	2.58038	5.86845	211.962	
pi-	2.77291	5.80868	212.287	
pi-	2.98153	5.78711	212.504	
pi-	3.16184	5.71237	212.633	
pi-	3.31328	5.64446	212.651	
pi-	3.35433	5.63657	212.668	
pi-	3.35482	5.63639	212.668	
pi-	3.35482	5.63639	212.668	
pi+	5097.95	9780.47	23080.9	
mu+	41131.6	28428.8	99556.7	
pi+	0.627439	3.10796	12.2588	
pi+	0.66703	6.13421	17.7576	
pi+	0.619532	8.71069	22.1235	
pi+	-0.18846	10.7932	25.62	
pi+	-0.538172	12.6496	28.4206	
pi+	-1.03537	14.1969	30.5317	
pi+	-1.5523	15.167	32.4311	
