ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi+	-1.23911	-6.15421	85.835
pi+	-1.21837	-6.20295	85.442
pi+	-1.25592	-6.22803	85.1267
pi+	-1.25767	-6.24141	84.8697
pi+	-1.22269	-6.24853	84.6781
pi+	-1.19144	-6.23632	84.5941
pi+	-1.19238	-6.2353	84.591
pi+	-1.19216	-6.23515	84.5909
pi+	-1.19216	-6.23515	84.5909
mu+	-1.10683	-6.23657	84.5002
mu+	-1.0999	-6.22432	84.4868
mu+	-1.09935	-6.22429	84.4864
mu+	-1.09935	-6.22429	84.4864
pi+	3.01447	-0.20452	213.708
pi+	17.7599	1.23273	282.126
pi+	22.4063	2.00378	298.753
pi+	25	2.80245	307.951
pi+	89.9115	17.9903	515
pi+	93.0797	18.5746	525
pi+	65.1165	12.552	69890.2
mu+	594.8	-1847.42	79915.3
mu+	1257.5	-1052.54	96790.3
mu+	728.074	-62.4987	113253
mu+	-271.815	-140.752	130090
mu+	480.586	20.124	214496
mu+	-480.396	-347.766	230681
mu+	-639.447	-1178.42	247464
mu+	-82.8716	-1789.32	264251
mu+	681.293	-1759.55	281173
mu+	1172.86	-1132.77	297882
mu+	969.19	-325.707	314376
mu+	-560.136	-644.979	404730
mu+	-607.178	-892.337	422664
mu+	-597.492	-1076.31	440763
mu+	-586.041	-1130.88	459255
mu+	822.412	-1475.78	545857
mu+	877.095	-1414.61	563540
mu+	947.42	-1312.62	580994
mu+	1016.44	-1145.06	598171
mu+	1035.64	-1064.61	615646
mu+	1047.62	-875.677	632646
mu+	1034.51	-523.807	649414
mu+	1029.53	-511.025	666876
mu+	1046.48	-557.297	684469
mu+	1076.7	-708.182	702401
mu+	1081.37	-809.088	720041
mu+	1081.5	-805.328	737201
mu+	1082.24	-745.931	754027
mu+	1080.01	-710.975	770856
mu+	1083.59	-773.569	787987
mu+	1059.32	-971.897	805575
mu+	918.28	-1242.81	823506
mu+	735.98	-1397.86	841165
mu+	900.676	-1263.01	857058
mu+	1068.13	-675.779	871362
mu+	377.138	-61.045	884236
mu+	-356.918	-974.455	895822
mu+	959.185	-1194.58	906249
mu+	-2.91657	-149.61	915634
mu+	619.229	-1443.92	924080
mu+	-44.9338	-149.454	931674
mu+	1025.61	-1095.72	938517
mu+	-340.024	-943.004	944674
mu+	612.466	-51.5992	950217
mu+	928.305	-1229.96	955205
mu+	-214.907	-1199.02	959694
mu+	-67.6513	-154.774	963734
mu+	895.612	-233.718	967370
mu+	1012.98	-1103.35	970643
mu+	307.029	-1478.1	973588
mu+	-287.322	-1066.29	976239
mu+	-269.331	-408.34	978625
mu+	209.71	-46.2331	980772
mu+	746.218	-127.479	982704
mu+	1057.89	-503.12	984443
mu+	1076.98	-946.439	986009
mu+	868.557	-1290.5	987417
mu+	551.092	-1462.65	988685
