ParticleType,Energy
pi+,738.926
pi+,738.926
2pi+,736.894
2pi+,736.894
2pi+,736.894
pi-,933.481
pi-,933.481
pi-,413.689
pi-,413.689
2pi-,411.199
2pi-,411.199
2pi-,411.199
pi-,311.749
pi-,311.749
2pi-,309.63
2pi-,309.63
2pi-,309.63
pi-,264.884
pi-,264.884
pi-,264.884
2mu-,210.131
2mu-,210.131
2mu-,210.131
pi-,758.385
pi-,758.385
2pi-,756.34
2pi-,756.34
2pi-,756.34
pi-,400.504
pi-,400.504
2pi-,397.129
2pi-,397.129
2pi-,397.129
mu+,232.208
mu+,232.208
mu+,232.208
pi-,277.114
pi-,277.114
pi+,648.772
pi+,648.772
pi+,494.854
pi+,494.854
pi+,923.63
pi+,923.63
2pi+,921.326
2pi+,921.326
2pi+,921.326
pi-,453.33
pi-,453.33
pi-,453.33
2mu-,442.223
2mu-,442.223
2mu-,442.223
pi-,659.635
pi-,659.635
2pi-,657.41
2pi-,657.41
2pi-,657.41
pi+,305.923
pi+,305.923
pi+,305.923
2mu+,272.844
2mu+,272.844
2mu+,272.844
mu+,242.871
mu+,242.871
mu+,242.871
2mu+,240.662
2mu+,240.662
2mu+,240.662
pi+,58.4488
pi+,58.4488
pi+,58.4488
2pi+,55.0267
2pi+,55.0267
2pi+,55.0267
pi+,679.902
pi+,679.902
2mu+,378.797
2mu+,378.797
2mu+,378.797
pi-,320.509
pi-,320.509
pi-,320.509
2pi-,318.733
2pi-,318.733
2pi-,318.733
pi-,247.953
pi-,247.953
pi-,247.953
2mu-,160.887
2mu-,160.887
2mu-,160.887
pi-,277.834
pi-,277.834
pi+,666.388
pi+,666.388
2mu+,598.858
2mu+,598.858
2mu+,598.858
pi-,618.309
pi-,618.309
2mu-,447.265
2mu-,447.265
2mu-,447.265
pi+,180.093
pi+,180.093
pi+,180.093
2pi+,177.672
2pi+,177.672
2pi+,177.672
pi-,221.749
pi-,221.749
pi-,221.749
2mu-,231.729
2mu-,231.729
2mu-,231.729
pi-,458.763
pi-,458.763
2pi-,454.914
2pi-,454.914
2pi-,454.914
pi-,93.1232
pi-,93.1232
pi-,93.1232
2mu-,48.2805
2mu-,48.2805
2mu-,48.2805
pi+,38.0187
pi+,38.0187
pi+,38.0187
pi-,763.33
pi-,763.33
2pi-,761.349
2pi-,761.349
2pi-,761.349
mu+,543.344
mu+,543.344
pi+,376.294
pi+,376.294
2pi+,373.825
2pi+,373.825
2pi+,373.825
pi-,973.624
pi-,973.624
2pi-,971.589
2pi-,971.589
2pi-,971.589
pi-,377.827
pi-,377.827
2pi-,374.487
2pi-,374.487
2pi-,374.487
pi+,376.233
pi+,376.233
2pi+,374.113
2pi+,374.113
2pi+,374.113
pi-,314.738
pi-,314.738
pi+,363.054
pi+,363.054
2mu+,286.804
2mu+,286.804
2mu+,286.804
pi-,530.249
pi-,530.249
2pi-,527.513
2pi-,527.513
2pi-,527.513
pi+,375.063
pi+,375.063
pi+,162.951
pi+,162.951
pi+,162.951
pi+,494.387
pi+,494.387
2pi+,491.252
2pi+,491.252
2pi+,491.252
pi+,1078.22
pi+,1078.22
2pi+,1076.11
2pi+,1076.11
2pi+,1076.11
pi-,289.355
pi-,289.355
pi-,289.355
2pi-,287.363
2pi-,287.363
2pi-,287.363
pi-,531.98
pi-,531.98
pi-,532.378
pi-,532.378
2pi-,530.116
2pi-,530.116
2pi-,530.116
pi-,501.035
pi-,501.035
2pi-,498.613
2pi-,498.613
2pi-,498.613
pi-,483.434
pi-,483.434
pi-,483.434
2pi-,481.553
2pi-,481.553
2pi-,481.553
pi+,235.749
pi+,235.749
pi+,235.749
2pi+,232.835
2pi+,232.835
2pi+,232.835
pi+,325.138
pi+,325.138
pi+,325.138
2pi+,322.284
2pi+,322.284
2pi+,322.284
pi+,292.346
pi+,292.346
pi-,68.5756
pi-,68.5756
pi-,68.5756
mu-,266.337
mu-,266.337
pi-,975.341
pi-,975.341
2pi-,973.108
2pi-,973.108
2pi-,973.108
pi+,251.841
pi+,251.841
pi+,1336.46
pi+,1336.46
2pi+,1333.78
2pi+,1333.78
2pi+,1333.78
pi-,1097.92
pi-,1097.92
2pi-,1095.81
2pi-,1095.81
2pi-,1095.81
pi-,771.763
pi-,771.763
2pi-,769.868
2pi-,769.868
2pi-,769.868
pi+,501.94
pi+,501.94
2pi+,499.949
2pi+,499.949
2pi+,499.949
pi+,216.98
pi+,216.98
pi+,216.98
2mu+,179.994
2mu+,179.994
2mu+,179.994
pi+,162.221
pi+,162.221
pi+,162.221
2mu+,130.946
2mu+,130.946
2mu+,130.946
pi-,117.123
pi-,117.123
pi-,117.123
2mu-,102.372
2mu-,102.372
2mu-,102.372
pi+,177.045
pi+,177.045
pi+,177.045
pi+,424.656
pi+,424.656
2pi+,422.409
2pi+,422.409
2pi+,422.409
pi+,737.904
pi+,737.904
2pi+,734.875
2pi+,734.875
2pi+,734.875
pi-,317.503
pi-,317.503
pi-,317.503
2pi-,314.994
2pi-,314.994
2pi-,314.994
pi-,357.059
pi-,357.059
pi-,357.059
2mu-,320.102
2mu-,320.102
2mu-,320.102
pi-,291.728
pi-,291.728
2pi-,287.077
2pi-,287.077
2pi-,287.077
pi-,125.034
pi-,125.034
pi-,125.034
2mu-,72.0594
2mu-,72.0594
2mu-,72.0594
mu+,564.199
mu+,564.199
2mu+,562.105
2mu+,562.105
2mu+,562.105
pi-,311.408
pi-,311.408
pi+,258.396
pi+,258.396
pi+,165.68
pi+,165.68
pi+,165.68
2pi+,163.122
2pi+,163.122
2pi+,163.122
pi-,804.095
pi-,804.095
2pi-,802.251
2pi-,802.251
2pi-,802.251
2mu+,525.334
2mu+,525.334
2mu+,525.334
pi-,1305.53
pi-,1305.53
2mu-,1109.25
2mu-,1109.25
2mu-,1109.25
pi-,836.294
pi-,836.294
2mu-,613.15
2mu-,613.15
2mu-,613.15
pi+,466.992
pi+,466.992
2pi+,464.447
2pi+,464.447
2pi+,464.447
pi+,277.863
pi+,277.863
pi+,277.863
2pi+,275.664
2pi+,275.664
2pi+,275.664
pi-,242.686
pi-,242.686
pi-,242.686
2pi-,239.726
2pi-,239.726
2pi-,239.726
pi-,112.557
pi-,112.557
pi-,112.557
pi-,262.958
pi-,262.958
2pi-,260.187
2pi-,260.187
2pi-,260.187
pi-,441.826
pi-,441.826
2mu-,388.395
2mu-,388.395
2mu-,388.395
pi+,703.658
pi+,703.658
2pi+,701.462
2pi+,701.462
2pi+,701.462
pi+,208.447
pi+,208.447
pi+,208.447
2pi+,205.435
2pi+,205.435
